time,open,high,low,close,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-07-18 12:30:00,1.74,1.81,1.71,1.78,0.0,0.0,True,False,True,False
2024-07-18 12:33:00,1.81,1.87,1.79,1.81,0.0,0.0,True,False,True,False
2024-07-18 12:37:00,1.82,1.91,1.78,1.85,0.0,0.0,True,False,True,False
2024-07-18 12:39:00,1.92,1.98,1.9,1.96,0.0,0.0,True,False,True,False
2024-07-18 12:43:00,2.01,2.14,1.97,2.14,0.0,0.0,True,False,True,False
2024-07-18 13:00:00,2.15,2.3,2.14,2.3,0.0,0.0,True,False,True,False
2024-07-18 13:03:00,2.18,2.23,2.12,2.23,0.0,0.0,True,False,True,False
2024-07-18 13:07:00,1.91,1.93,1.86,1.86,0.0,0.0,False,True,False,True
2024-07-18 13:11:00,1.97,2.09,1.97,2.04,0.0,0.0,True,False,True,False
2024-07-18 13:13:00,2.21,2.33,2.17,2.32,0.0,0.0,True,False,True,False
2024-07-18 13:17:00,2.32,2.37,2.28,2.36,0.0,0.0,True,False,True,False
2024-07-18 13:20:00,2.27,2.45,2.27,2.4,0.0,0.0,True,False,True,False
2024-07-18 13:22:00,2.4,2.54,2.4,2.51,0.0,0.0,True,False,True,False
2024-07-18 13:24:00,2.55,2.6,2.52,2.6,0.0,0.0,True,False,True,False
2024-07-18 13:32:00,2.2,2.33,2.19,2.33,0.0,0.0,True,False,True,False
2024-07-18 13:35:00,2.2,2.25,2.17,2.17,0.0,0.0,False,True,False,True
2024-07-18 13:39:00,2.09,2.11,1.92,1.98,0.0,0.0,False,True,False,True
2024-07-18 13:41:00,1.97,2.02,1.89,1.89,0.0,0.0,False,True,False,True
2024-07-18 13:51:00,1.99,1.99,1.89,1.96,0.0,0.0,False,True,False,True
2024-07-18 13:56:00,1.95,2.0,1.83,1.86,0.0,0.0,False,True,False,True
2024-07-18 13:58:00,1.81,1.84,1.74,1.75,0.0,0.0,False,True,False,True
2024-07-18 14:02:00,1.78,1.78,1.63,1.66,0.0,0.0,False,True,False,True
2024-07-18 14:08:00,1.95,2.06,1.95,2.06,0.0,0.0,True,False,True,False
2024-07-18 14:10:00,2.25,2.32,2.21,2.32,0.0,0.0,True,False,True,False
2024-07-18 14:16:00,2.08,2.23,2.06,2.23,0.0,0.0,True,False,True,False
2024-07-18 14:19:00,2.01,2.01,1.94,1.99,0.0,0.0,False,True,False,True
2024-07-18 14:21:00,2.03,2.1,2.03,2.05,0.0,0.0,True,False,True,False
2024-07-18 14:23:00,1.97,1.97,1.9,1.91,0.0,0.0,False,True,False,True
2024-07-18 14:25:00,2.08,2.21,2.04,2.17,0.0,0.0,True,False,True,False
2024-07-18 14:28:00,2.13,2.13,1.99,2.0,0.0,0.0,False,True,False,True
2024-07-18 14:31:00,2.0,2.0,1.85,1.85,0.0,0.0,False,True,False,True
2024-07-18 14:36:00,2.06,2.09,2.02,2.03,0.0,0.0,True,False,True,False
2024-07-18 14:38:00,2.01,2.03,1.96,1.98,0.0,0.0,False,True,False,True
2024-07-18 14:40:00,1.96,1.96,1.82,1.83,0.0,0.0,False,True,False,True
2024-07-18 14:46:00,1.87,1.9,1.85,1.88,0.0,0.0,False,True,False,True
2024-07-18 14:53:00,1.83,1.84,1.75,1.79,0.0,0.0,False,True,False,True
2024-07-18 14:55:00,1.88,2.1,1.88,2.08,0.0,0.0,True,False,True,False
2024-07-18 14:57:00,2.02,2.06,1.99,2.06,0.0,0.0,True,False,True,False
2024-07-18 14:59:00,2.01,2.01,1.95,1.99,0.0,0.0,False,True,False,True
2024-07-18 15:03:00,2.05,2.09,2.02,2.09,0.0,0.0,True,False,True,False
2024-07-18 15:05:00,1.95,1.95,1.76,1.77,0.0,0.0,False,True,False,True
2024-07-18 15:08:00,1.79,1.86,1.79,1.86,0.0,0.0,True,False,True,False
2024-07-18 15:10:00,1.81,1.85,1.8,1.85,0.0,0.0,True,False,True,False
2024-07-18 15:12:00,1.78,1.78,1.68,1.68,0.0,0.0,False,True,False,True
2024-07-18 15:14:00,1.56,1.57,1.44,1.47,0.0,0.0,False,True,False,True
2024-07-18 15:24:00,1.49,1.54,1.39,1.5,0.0,0.0,False,True,False,True
2024-07-18 15:27:00,1.64,1.68,1.6,1.64,0.0,0.0,True,False,True,False
2024-07-18 15:31:00,1.71,1.84,1.65,1.77,0.0,0.0,True,False,True,False
2024-07-18 15:34:00,1.73,1.87,1.73,1.83,0.0,0.0,True,False,True,False
2024-07-18 15:36:00,1.79,1.87,1.75,1.86,0.0,0.0,True,False,True,False
2024-07-18 15:39:00,1.86,2.03,1.86,2.03,0.0,0.0,True,False,True,False
2024-07-18 15:41:00,2.2,2.29,2.2,2.28,0.0,0.0,True,False,True,False
2024-07-18 15:43:00,2.22,2.35,2.2,2.35,0.0,0.0,True,False,True,False
2024-07-18 15:46:00,2.2,2.45,2.2,2.41,0.0,0.0,True,False,True,False
2024-07-18 15:48:00,2.32,2.4,2.32,2.4,0.0,0.0,True,False,True,False
2024-07-18 15:50:00,2.41,2.52,2.4,2.42,0.0,0.0,True,False,True,False
2024-07-18 15:56:00,2.1,2.59,2.1,2.57,0.0,0.0,True,False,True,False
2024-07-18 16:00:00,2.31,2.53,2.3,2.46,0.0,0.0,True,False,True,False
2024-07-19 09:32:00,1.64,1.65,1.2,1.21,0.0,0.0,False,True,False,True
2024-07-19 09:34:00,1.33,1.45,1.2,1.27,0.0,0.0,False,True,False,True
2024-07-19 09:38:00,1.3,1.34,1.16,1.18,0.0,0.0,False,True,False,True
2024-07-19 09:41:00,1.35,1.6,1.31,1.59,0.0,0.0,True,False,True,False
2024-07-19 09:43:00,1.66,1.85,1.59,1.85,0.0,0.0,True,False,True,False
2024-07-19 09:48:00,1.69,1.7,1.45,1.5,0.0,0.0,False,True,False,True
2024-07-19 09:51:00,1.73,1.89,1.68,1.87,0.0,0.0,True,False,True,False
2024-07-19 09:56:00,1.69,1.69,1.48,1.54,0.0,0.0,False,True,False,True
2024-07-19 09:58:00,1.61,1.68,1.55,1.59,0.0,0.0,False,True,False,True
2024-07-19 10:00:00,1.45,1.47,1.28,1.28,0.0,0.0,False,True,False,True
2024-07-19 10:03:00,1.14,1.15,1.05,1.1,0.0,0.0,False,True,False,True
2024-07-19 10:06:00,1.06,1.15,1.01,1.05,0.0,0.0,False,True,False,True
2024-07-19 10:13:00,1.26,1.26,1.06,1.12,0.0,0.0,False,True,False,True
2024-07-19 10:21:00,1.2,1.2,1.09,1.1,0.0,0.0,False,True,False,True
2024-07-19 10:23:00,1.07,1.07,0.97,0.99,0.0,0.0,False,True,False,True
2024-07-19 10:28:00,0.87,0.92,0.76,0.77,0.0,0.0,False,True,False,True
2024-07-19 10:30:00,0.68,0.7,0.62,0.62,0.0,0.0,False,True,False,True
2024-07-19 10:34:00,0.51,0.55,0.51,0.52,0.0,0.0,False,True,False,True
2024-07-19 10:36:00,0.52,0.57,0.51,0.56,0.0,0.0,True,False,True,False
2024-07-19 10:38:00,0.56,0.64,0.56,0.62,0.0,0.0,True,False,True,False
2024-07-19 10:42:00,0.57,0.59,0.51,0.51,0.0,0.0,False,True,False,True
2024-07-19 10:44:00,0.53,0.55,0.5,0.53,0.0,0.0,False,True,False,True
2024-07-19 10:46:00,0.46,0.49,0.43,0.48,0.0,0.0,False,True,False,True
2024-07-19 10:48:00,0.53,0.61,0.52,0.61,0.0,0.0,True,False,True,False
2024-07-19 10:52:00,0.59,0.6,0.56,0.56,0.0,0.0,False,True,False,True
2024-07-19 10:56:00,0.66,0.66,0.66,0.66,0.0,0.0,True,False,True,False
2024-07-19 10:58:00,0.74,0.74,0.73,0.74,0.0,0.0,True,False,True,False
2024-07-19 11:02:00,0.9,0.95,0.89,0.92,0.0,0.0,True,False,True,False
2024-07-19 11:06:00,0.93,1.0,0.93,0.98,0.0,0.0,True,False,True,False
2024-07-19 11:10:00,0.71,0.73,0.67,0.69,0.0,0.0,False,True,False,True
2024-07-19 11:14:00,0.59,0.61,0.59,0.61,0.0,0.0,False,True,False,True
