time,open,high,low,close,Volume,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-04-19 09:30:00,422.22,422.23,421.08,421.69,233746,-8,-2.8012546696938223,False,True,False,True
2024-04-24 09:30:00,428.2,428.695,427.75,428.26,163264,6,0.749532975512034,True,False,True,False
2024-04-25 09:30:00,419.24,419.36,418.14,418.29,333656,-6,0.4064242660717725,False,True,False,True
2024-04-26 09:30:00,427.62,428.565,426.92,428.5,319587,8,2.340658998325203,True,False,True,False
2024-05-01 13:15:00,421.19,421.29,421.0,421.02,33141,-8,-4.733708108441216,False,True,False,True
2024-05-03 09:30:00,434.45,434.63,433.5,433.96,218290,6,2.197758112395199,True,False,True,False
2024-05-06 15:50:00,439.45,439.81,439.23,439.8,145825,6,3.35980955196466,True,False,True,False
2024-05-10 09:30:00,442.51,443.5,442.13,443.46,172612,6,0.09496557910330317,True,False,True,False
2024-05-14 14:10:00,444.45,445.15,444.4,445.1,72020,6,1.6696331116127479,True,False,True,False
2024-05-16 10:40:00,453.62,453.87,453.54,453.84,44840,2,2.1798147094449565,True,False,False,False
2024-05-20 12:50:00,455.03,455.42,455.03,455.36,33555,8,4.779520849112882,True,False,True,False
2024-05-23 09:30:00,460.56,460.58,459.37,459.47,207789,4,-1.9525166138839678,True,False,True,False
